method,evaluation_domain,mean_gate_long_no_knee,hard_usage_gate_long_no_knee,mean_gate_regular_no_knee,hard_usage_gate_regular_no_knee,mean_gate_early_knee,hard_usage_gate_early_knee,mean_gate_late_knee,hard_usage_gate_late_knee
multi_expert,v10,0.2623443603515625,0.2651791751183232,0.5063298344612122,0.7271129141311697,0.022616734728217125,0.0,0.20870912075042725,0.007707910750507099
multi_expert,v15,0.22877663373947144,0.2234339891489012,0.4953099489212036,0.752781279114375,0.11059613525867462,0.012385597632487533,0.16531725227832794,0.011399134104236312
multi_expert_target_only,v10,0.2679138481616974,0.2527834122154609,0.49819275736808777,0.740545413567726,0.023172147572040558,0.0,0.2107212394475937,0.006671174216813162
multi_expert_target_only,v15,0.2308405488729477,0.21702197621526825,0.4872058928012848,0.7614950402805941,0.10979659855365753,0.008439743519482654,0.1721569448709488,0.013043239984655012
