method,samples,devices,rul_mae,rul_rmse,rul_r2,rul_bias,rul_p90_absolute_error,worst_device_mae,soh_mae,soh_rmse,soh_bias
nasa_adaptive,22185,320,4.3498140362842355,5.709459490970636,0.9404645590598721,-0.12848477498174238,9.330909449481666,14.686063144038094,0.011533940800251335,0.014433810806257483,-0.0011044041621999369
nasa_all5_uniform,22185,320,4.414162295078225,5.8998627631917,0.9364274836947997,-0.6713152908787875,9.447129821777343,15.557611857118113,0.011533940800251335,0.014433810806257483,-0.0011044041621999369
nasa_dynamics_adaptive,22185,320,4.345603979546951,5.736702682256622,0.9398950463021167,-0.28945625544742276,9.308047879559322,15.624532719588004,0.011507625465559284,0.014438182180393755,-0.0010692726490186108
nasa_dynamics_finetune_bstats,22185,320,4.927341086036652,6.657800779721542,0.9190443481603341,-0.851238329107537,10.74454116821289,16.499920196916865,0.011507625465559284,0.014438182180393755,-0.0010692726490186108
target_reference_control,22185,320,4.409316397540278,5.840940170100111,0.9376909545616647,-0.084238242949084,9.538727373628822,14.103566321567516,0.011533940800251335,0.014433810806257483,-0.0011044041621999369
target_ssl_bstats,22185,320,4.959028788860131,6.673292676675858,0.9186671618211594,-0.8720988927541009,10.770764668782551,16.450631719168232,0.011533940800251335,0.014433810806257483,-0.0011044041621999369
